dataSet,Input,instructionCount,ilp32,ilp256,ilp2048,ilp65536,memops,ctrlops,intops,flops,coldref,coldref fraction,reuseDist2,resuseDist2 fraction,sfp,dfp,noconflict,broadCast,coalesced,shMemBw,gMemBw,blocks,pages,lipRate,mulf,divf,specialFn,lbdiv16,lbdiv32,lbdiv64,lbdiv128,lbdiv256,lbdiv512,lbdiv1024,probsize,Class,CPU Time,GPU Time,Ratio
FDTD-2D:4: 66-105,262144,3573780845,4.798247972,13.4895615,29.03866783,450.360961,0.6342798049,0.0474360201,0.805158034,0.1920032855,923,4.071860589E-07,992488255,0.4378411496,0.1931540342,0.2298288509,0.2136299082,0.6887244214,0.9023543296,0.2136299082,0.9511771648,2277664.313,61831887.09,0.0351941437,0,0,0,0.0000447,0.0000894,0.0000913,0.0000912,0.0000909,0.0000904,0.0000914,2382,Y,3.393698,0.679828,4.991995034
FDTD-2D:2: 66-105,131072,1786890428,4.798247972,13.4895615,29.03866783,450.360961,0.6342798054,0.0474360205,0.8051580335,0.1920032849,513,4.526250215E-07,496244128,0.4378411483,0.1931540342,0.2298288509,0.2136299082,0.6887244214,0.9023543296,0.2136299082,0.9511771648,2049009.906,50054384.86,0.0351941437,0,0,0,0.0000895,0.0001788929,0.0001825462,0.0001823031,0.0001818263,0.0001808785,0.0001827946,1191,Y,1.700946,0.44167,3.8511694251
Timewaster:50000: 34-57,50000,2216700009,3.166883125,3.168362438,3.181261334,3.715862941,0.586482158,0.1428564987,0.5188049805,0.135343077,5,3.845991117E-09,916650000,0.7050855514,0,1,0,1,1,0,1,190003000.6,316671667.7,0.9631544086,0,0,0,0.0004563013,0.0004570158,0.0004584448,0.000461303,0.0004670179,0.0004784491,0.0005017968,454,Y,23.225514,7.608884,3.0524205652
min_max_red:262144: 27-40,262144,137437144683,2.857152341,2.85716324,2.857252277,2.860401012,0.849999361,0.1000005531,0.7499997616,0.0499998951,32772,2.805305887E-07,68718533017,0.5882353997,0,1,0,0.7261890476,0.7261890476,0.1369054762,0.8630945238,2935612.849,93585510,0.9997164243,0,0,0,0,0,0,0,0,0,0,2383,Y,169.931417,119.958813,1.4165813478
min_max_red:131072: 27-40,131072,34359358266,2.857161825,2.857183623,2.857361705,2.863666585,0.8499987221,0.1000011063,0.7499995231,0.0499997902,16388,5.611289023E-07,17179659469,0.5882355052,0,1,0,0.7261890476,0.7261890476,0.1369054762,0.8630945238,1467628.892,46611438.54,0.9994328484,0,0,0,0,0,0,0,0,0,0,1191,Y,41.48116,37.52231,1.105506564
min_max_red:65539: 27-40,65539,8589220252,2.857180792,2.85722439,2.857580583,2.870220091,0.8499974441,0.1000022126,0.7499990461,0.0499995803,8196,1.122614353E-06,4294600293,0.5882357161,0,1,0,0.7261890476,0.7261890476,0.1369054762,0.8630945238,733581.0062,23124730.49,0.9988656964,0,0,0,0,0,0,0,0,0,0,595,Y,11.387481,8.305175,1.3711307709
min_max_red:32768: 27-40,32768,2146995405,2.857218727,2.857305925,2.858018432,2.883417253,0.8499948881,0.1000044255,0.7499980919,0.0499991606,4100,2.246655214E-06,1073492785,0.5882361372,0,1,0,0.7261901428,0.7261901428,0.1369049286,0.8630950714,366557.2339,11385489.84,0.997731391,0,0,0,0,0,0,0,0,0,0,297,N,2.773428,4.125899,0.672199683
PI:999999999: 24-33,999999999,1999999988,2.25,18,288,288,0.7000000002,0.1000000006,0.5499999998,0.1499999994,3,2.142857155E-09,899999994,0.6428571422,0,1,0,1,1,0,1,366666664.3,366666664.3,0.0078125,0,0,0,0,0,0,0,0,0,0,6944444,Y,41.464354,6.140795,6.7522778402
PI:800000000: 24-33,800000000,1600000008,2.25,18,288,288,0.7000000003,0.1000000008,0.5499999998,0.1499999993,3,2.678571414E-09,720000003,0.642857142,0,1,0,1,1,0,1,293333334.7,293333334.7,0.0078125,0,0,0,0.00000001,0.00000002,0.00000004,0.00000008,0.00000016,0.00000032,0.00000064,5555555,Y,14.795951,2.28441,6.4769244575
PI:450000000: 24-33,450000000,900000008,2.25,18,288,288,0.7000000004,0.1000000013,0.5499999996,0.1499999987,3,4.761904717E-09,405000003,0.6428571415,0,1,0,1,1,0,1,165000001.3,165000001.3,0.0078125,0,0,0,1.78E-08,3.56E-08,7.11E-08,0,0,0,0,3125000,Y,3.27867,0.508241,6.451014381
GEMM:2048: 34-49,2048,23110584526,5.999891221,9.029708849,9.331309768,14.10065717,0.777749634,0.0741196319,0.7777496427,0.1851724456,157189,8.745233417E-06,11127055153,0.61905537,0.5999218979,0,0.0264406346,0.947250734,0.9736913686,0.0264406346,0.9745135133,103453.2877,3307244.018,0.490156694,0.3999804745,0,0,0.000143205,0.0002864101,0.0005728201,0.0011456403,0.0022912805,0.004582561,0.0091651442,18,Y,151.732057,17.193195,8.8251227884
GEMM:1024: 34-49,1024,2889868396,5.9997819,9.059591599,9.687677986,15.27973419,0.7777214655,0.0741652133,0.7777215001,0.1851596788,39301,1.748644191E-05,1391352217,0.6190631211,0.5998438415,0,0.0265653814,0.9471332509,0.9736986323,0.0265653814,0.9745205501,51736.3331,1649058.903,0.4420703482,0.3999609604,0,0,0.0005726046,0.0011452092,0.0022904185,0.004580837,0.0091616739,0.0183233479,0.0366474041,9,Y,13.88954,2.217976,6.2622589244
GEMM:512: 34-49,512,361495099,5.99956163,9.119884834,10.48789044,18.33789388,0.7776650549,0.0742564479,0.7776651904,0.1851340618,9830,0.000034967,107111628,0.3810146044,0.5996878658,0,0.0268181455,0.9468957517,0.9737138971,0.0268181455,0.9745353378,25870.29247,817700.8842,0.4257578228,0.3999219664,0,0,0.0011556893,0.0023113785,0.004622757,0.009245514,0.018491028,0.036982056,0.0370557057,4,Y,0.816863,0.351247,2.3256084749
neighbor_bench:12000: 96-141,12000,12463871350,2.43248772,3.120762468,9.821032942,193.4059347,0.7563471218,0.1478121863,0.8198556427,0.0011553393,912831,9.683141187E-05,6159924272,0.6534332908,0,1,0,0.8455134283,0.9133330933,0.0020863589,0.949472976,4041.014483,107285.6145,0.048471625,0,0,0,0.0050421366,0.006000249,0.0060007599,0.0060017817,0.0060038146,0.0060078996,0.0060163321,114,N,24.827133,26.453223,0.9385296075
neighbor_bench:7000: 96-141,7000,7888143970,2.563023266,3.880251155,9.619416106,149.5120403,0.7586767669,0.1439322475,0.8238108268,0.0006211854,315489,5.271723313E-05,3679816309,0.6148858891,0,1,0,0.8374810483,0.8618432896,0.0075466943,0.9147296313,7500.422845,177893.698,0.0478055462,0,0,0,0.0071321143,0.0085638003,0.0101423422,0.0101439565,0.0101471853,0.0101536105,0.0101668693,68,N,11.518127,13.465596,0.8553744669
Collinear_List:2048: 51-82,1024,44640612341,4.530365063,16.88366879,107.9614443,3282.886869,0.7486614288,0.1500351101,0.8321178658,0,131,3.919725856E-09,23021410177,0.6888367687,0,0,0,1,1,0,1,211889124.7,3655087400,0.0054091593,0,0,0,0.0043405792,0.0064857662,0.0085891109,0.009719428,0.0101654634,0.011005039,0.0126842334,18,N,46.413496,59.670559,0.7778290798
collinear_list:1024: 51-82,1024,5581059077,4.530232472,16.87760698,107.8784531,3241.788036,0.7486327939,0.1500692536,0.8320864753,0,67,0.000000016,2882436659,0.6898811925,0,0,0,1,1,0,1,51486641.56,731110310.2,0.0054372975,0,0,0,0.0085488176,0.0127352115,0.0167570203,0.0185958798,0.0186461069,0.0186461069,0.0186461069,9,N,5.683282,7.321646,0.7762300991
collinear_list:512: 51-82,512,696079958,4.52968622,16.87030809,107.7982863,3182.842296,0.7485057155,0.1502042816,0.831920726,0,36,6.909525921E-08,360245850,0.6914244551,0,0,0,0.9999919993,1,0,1,12657917.53,113921257.8,0.0055123773,0,0,0,0.0083338932,0.0125144244,0.0167261704,0.0184284116,0.0184284116,0.0184284116,0.0370370325,4,N,0.773513,1.159012,0.6673899839
GESUMMV_16384: 32-44,16384,221425670,3.000150308,3.002649239,3.022628734,3.959409319,0.8484766649,0.0606115587,0.8181653329,0.2424314037,419614,0.0022334802,120776390,0.6428566995,0.4999847431,0,0.080031683,0.919968317,1,0.080031683,1,399.7547007,12788.18853,0.9395297882,0.25,0,0,0.00000723,0.0000145,0.0000289,0.0000578,0.0001156285,0.0002312571,0.0004625141,74,N,1.4017,2.16825,0.646466044
GESUMMV_8192: 32-44,8192,221425670,3.000150308,3.002649239,3.022628734,3.959409319,0.8484766649,0.0606115587,0.8181653329,0.2424314037,419614,0.0022334802,120776390,0.6428566995,0.4999847431,0,0.080031683,0.919968317,1,0.080031683,1,399.7547007,12788.18853,0.9395297882,0.25,0,0,0.00000723,0.0000145,0.0000289,0.0000578,0.0001156285,0.0002312571,0.0004625141,74,N,0.414631,2.610222,0.1588489408
primeCounter:700000: 56-74,700000,2982706002,6.141176471,23.72727273,522,522,0.4616292615,0.3076511444,0.6154430986,0,2,1.452533702E-09,1147237108,0.8332002816,0,0,0,1,1,0,1,573618555,573618555,0.0117647059,0,0,0,0.000000261,0.000000455,0.000000689,0.000000752,0.000000668,0.000000557,0.000000835,5713996,N,57.781015,412.397738,0.1401099222
primeCounter:600000: 56-74,600000,2239865042,6.141176471,23.72727273,522,522,0.4616421131,0.3076453313,0.615451384,0,2,1.934205989E-09,861523054,0.8331815254,0,0,0,1,1,0,1,430761528,430761528,0.0117647059,0,0,0,0.000000347,0.000000606,0.000000918,0.000001,0.00000089,0.000000742,0.00000111,4290929,N,44.092051,313.158131,0.1407980398
22DCONV_15360: 41-53,15360,2662206387,6.396234804,24.21396861,37.69897608,39.13216451,0.5575214056,0.017701288,0.8318573608,0.2389362625,737284,0.0004967428,565426265,0.3809541516,0.6296296296,0,0.3231302177,0.6762377545,0.9993679722,0.3231302177,0.9996839861,975.237364,31205.01218,0.1682618,0.3333333333,0,0,0,0,0,0,0,0,0,139,N,3.204587,3.807937,0.8415546266
22DCONV_10360: 41-53,10360,1210262887,6.396233558,24.21378519,37.71459203,39.88116677,0.5575210595,0.0177023374,0.8318568551,0.2389353975,335409,0.0004970885,257048265,0.3809550055,0.6296296296,0,0.3228142038,0.6762457548,0.9990599586,0.3228142038,0.9995299793,974.8669453,31190.90189,0.167513689,0.3333333333,0,0,0,0,0,0,0,0,0,93,N,1.55948,1.716174,0.9086957383
3DCONV_512: 39-59,512,3492503086,6.372239904,21.92251913,91.46337435,167.9756089,0.5364850037,0.0073271111,0.8868456089,0.1642147439,418308,0.0002232553,242278246,0.1293064044,0.6444444444,0,0.283499938,0.6987635654,0.9822635034,0.283499938,0.9911317517,2257.521342,69546.76183,0.0625569628,0.3333333333,0,0,0,0,0,0,0,0,0,4,Y,3.180727,2.942611,1.0809199721
3DCONV_256: 39-59,256,406673612,6.372384739,21.92507697,91.59483197,178.0356646,0.5364735468,0.0073552793,0.8868297066,0.1641957039,51460,0.0002358715,60867890,0.278993408,0.6444444444,0,0.2398493343,0.728008038,0.9678573723,0.2398493343,0.9839286861,2185.803462,60243.60722,0.0552909898,0.3333333333,0,0,0,0,0,0,0,0,0,2,Y,0.508171,0.430335,1.1808730408
3D_array_700: 17-28,700,1235388780,7.197260332,12.00573513,12.00584502,12.0097733,0.6110978489,0.1389815779,0.5833730301,0.3609390074,5,6.623012835E-09,377545280,0.500097447,0.0769230769,0.1538461538,0.0624779993,0.9375220007,1,0.0624779993,1,448.2271628,14341.65024,0.5994353564,0.1,0,0.3,0,0,0,0,0,0,0,6,Y,41.464354,6.140795,6.7522778402
